date,team,team_code,opponent,size,lineup,seconds,plus_minus,minutes,pm_per36
2026-07-24,Panteras,AGS,DRM,3,#15 MIGUEL SIMON / #4 TYLER CHEESE / #7 JORGE DE LA SERNA,0,0,0.0,0.0
2026-07-24,Panteras,AGS,DRM,4,#0 JARON MARTIN / #10 JONATAN MACHADO / #15 MIGUEL SIMON / #4 TYLER CHEESE,36,-2,0.6,-120.0
2026-07-24,Panteras,AGS,DRM,4,#0 JARON MARTIN / #10 JONATAN MACHADO / #15 MIGUEL SIMON / #7 JORGE DE LA SERNA,0,0,0.0,0.0
2026-07-24,Panteras,AGS,DRM,4,#0 JARON MARTIN / #15 MIGUEL SIMON / #4 TYLER CHEESE / #7 JORGE DE LA SERNA,0,0,0.0,0.0
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #4 TYLER CHEESE / #7 JORGE DE LA SERNA,0,0,0.0,0.0
2026-07-24,Panteras,AGS,DRM,5,#0 JARON MARTIN / #10 JONATAN MACHADO / #15 MIGUEL SIMON / #4 TYLER CHEESE / #7 JORGE DE LA SERNA,0,0,0.0,0.0
2026-07-24,Panteras,AGS,DRM,3,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT,87,-3,1.45,-74.48
2026-07-24,Panteras,AGS,DRM,4,#0 JARON MARTIN / #10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT,17,0,0.28,0.0
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT / #4 TYLER CHEESE,87,-3,1.45,-74.48
2026-07-24,Panteras,AGS,DRM,5,#0 JARON MARTIN / #10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT / #4 TYLER CHEESE,17,0,0.28,0.0
2026-07-24,Panteras,AGS,DRM,2,#15 MIGUEL SIMON / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,2,#21 MIKYLE MCINTOSH / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,3,#15 MIGUEL SIMON / #2 SHAUN WILLETT / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,3,#15 MIGUEL SIMON / #21 MIKYLE MCINTOSH / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,3,#15 MIGUEL SIMON / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,3,#2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,3,#21 MIKYLE MCINTOSH / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,4,#15 MIGUEL SIMON / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,4,#15 MIGUEL SIMON / #2 SHAUN WILLETT / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,4,#15 MIGUEL SIMON / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,4,#2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,5,#15 MIGUEL SIMON / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,182,-2,3.03,-23.74
2026-07-24,Panteras,AGS,DRM,2,#10 JONATAN MACHADO / #21 MIKYLE MCINTOSH,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,3,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #21 MIKYLE MCINTOSH,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,3,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,3,#10 JONATAN MACHADO / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,3,#10 JONATAN MACHADO / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,3,#10 JONATAN MACHADO / #21 MIKYLE MCINTOSH / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #21 MIKYLE MCINTOSH / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,5,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,5,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,5,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #2 SHAUN WILLETT / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,5,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,5,#10 JONATAN MACHADO / #2 SHAUN WILLETT / #21 MIKYLE MCINTOSH / #4 TYLER CHEESE / #5 DAIVIEN WILLIAMSON,70,-3,1.17,-92.57
2026-07-24,Panteras,AGS,DRM,2,#2 SHAUN WILLETT / #24 GABRIEL GIRON,8,-3,0.13,-810.0
