date,team,team_code,opponent,size,lineup,minutes,plus_minus,pm_per36
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,2.0,-4,-72.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #23 DEVON SCOTT / #24 MICHAEL CARRERA,12.8,1,2.81
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,12.8,1,2.81
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #24 MICHAEL CARRERA / #7 JOSE CRUZ,1.62,-3,-66.67
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #23 DEVON SCOTT / #24 MICHAEL CARRERA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,1.62,-3,-66.67
2026-07-23,Diablos Rojos,DRM,AGS,1,#66 GLENN COSEY,26.95,-7,-9.35
2026-07-23,Diablos Rojos,DRM,AGS,2,#66 GLENN COSEY / #9 THOMAS DRECHSEL,20.53,-1,-1.75
2026-07-23,Diablos Rojos,DRM,AGS,2,#66 GLENN COSEY / #7 JOSE CRUZ,7.48,-7,-33.69
2026-07-23,Diablos Rojos,DRM,AGS,3,#66 GLENN COSEY / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,3.27,-3,-33.03
2026-07-23,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #66 GLENN COSEY,20.17,1,1.78
2026-07-23,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,18.22,2,3.95
2026-07-23,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #66 GLENN COSEY / #7 JOSE CRUZ,4.83,-3,-22.36
2026-07-23,Diablos Rojos,DRM,AGS,4,#24 MICHAEL CARRERA / #66 GLENN COSEY / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,2.88,-2,-25.0
2026-07-23,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #66 GLENN COSEY,22.12,-4,-6.51
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #66 GLENN COSEY / #9 THOMAS DRECHSEL,17.65,1,2.04
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #66 GLENN COSEY / #7 JOSE CRUZ,2.65,-4,-54.34
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #66 GLENN COSEY / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,0.38,-1,-94.74
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #24 MICHAEL CARRERA / #66 GLENN COSEY,15.33,4,9.39
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #24 MICHAEL CARRERA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,15.33,4,9.39
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #24 MICHAEL CARRERA / #66 GLENN COSEY / #7 JOSE CRUZ,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #24 MICHAEL CARRERA / #66 GLENN COSEY / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,1,#10 BRUNO PEDRO,12.0,-9,-27.0
2026-07-23,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #9 THOMAS DRECHSEL,7.92,-4,-18.18
2026-07-23,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #66 GLENN COSEY,9.82,-9,-32.99
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #66 GLENN COSEY / #9 THOMAS DRECHSEL,5.73,-4,-25.13
2026-07-23,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #24 MICHAEL CARRERA,7.92,-4,-18.18
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,7.92,-4,-18.18
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #66 GLENN COSEY,5.73,-4,-25.13
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,5.73,-4,-25.13
2026-07-23,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #10 BRUNO PEDRO,9.12,-6,-23.68
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #10 BRUNO PEDRO / #9 THOMAS DRECHSEL,5.03,-1,-7.16
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #10 BRUNO PEDRO / #66 GLENN COSEY,9.0,-6,-24.0
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #66 GLENN COSEY / #9 THOMAS DRECHSEL,4.92,-1,-7.32
